feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,intervention_0,intervention_1,intervention_2,intervention_3,real_pred_inter0,real_pred_inter1,real_pred_inter2,real_pred_inter3,target
141.9,121.4,0.8,0.7,2.6,5.6,4.5,14.2,60.9,33.1,12.2,26.4,34.7,33.2,-12.2,-5.5,5.6,3.4,1.4,4.9,0.0,0.0,1.0,0.0,0.3173507417703078,0.10287110368433464,0.9967559834940997,0.7080746633057157,1
10.7,10.8,0.8,0.9,2.8,-0.6,0.7,3.3,7.0,4.2,3.0,3.3,6.9,5.1,3.7,2.6,1.6,2.0,-0.9,1.2,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
5.1,4.2,0.2,-0.2,2.0,5.7,-0.3,2.8,0.4,3.0,-1.6,2.1,0.7,3.1,-3.1,4.1,-8.9,-2.6,2.6,2.4,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0
2.3,-0.8,-0.3,1.7,0.5,0.6,-0.1,1.8,0.2,0.1,0.8,2.3,2.4,0.1,0.6,3.8,-4.8,-1.2,2.7,-0.7,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.62432770005646,0
29.3,24.7,2.6,10.7,14.1,2.0,0.2,2.9,37.6,49.2,9.5,16.4,14.7,17.3,-1.1,5.2,3.0,-4.0,8.2,-1.4,0.0,0.0,1.0,0.0,0.013705835578967603,0.8200044935632348,0.036933441657185116,0.3466506883847464,0
9.1,8.3,2.2,1.0,2.7,1.3,0.2,0.3,7.1,7.0,1.4,1.1,3.5,5.5,-6.4,-7.7,-1.3,-2.0,-5.0,-4.4,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
2.7,4.1,-0.7,0.2,7.2,8.4,0.2,3.1,-1.0,9.5,-0.7,2.1,7.3,7.1,1.0,-0.5,1.4,-4.9,1.1,-5.4,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1
0.1,-1.1,1.0,0.0,2.1,2.1,1.9,1.8,-1.3,3.8,1.3,-2.2,-0.1,3.5,3.6,-4.2,4.6,2.9,-3.1,-3.9,0.0,1.0,0.0,0.0,0.28879188723341676,0.9513351220644449,0.6225317372759295,0.43179215550769706,1
183.6,160.6,8.4,6.2,11.0,42.0,-0.2,42.4,93.1,88.7,28.3,91.0,41.2,56.4,-3.1,-0.5,5.0,0.3,-4.2,-2.6,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0
7.3,5.7,-0.4,1.4,1.9,-1.6,-0.5,0.8,7.1,6.2,0.4,-0.7,2.2,3.1,0.5,-5.9,-1.5,-1.3,0.5,-4.2,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
4.3,2.5,0.6,0.3,3.8,6.5,0.3,2.6,0.7,3.1,0.4,1.1,8.0,5.7,2.0,8.5,-1.6,4.3,4.2,11.1,1.0,0.0,0.0,0.0,0.3911181482215411,0.5,0.5,0.5,0
38.3,43.4,2.6,1.9,6.8,12.7,1.5,22.7,22.7,22.8,11.4,17.3,21.4,19.5,-4.5,4.1,1.5,-4.2,-6.7,0.1,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
84.2,152.4,39.1,43.6,90.0,50.7,77.9,148.2,89.9,134.5,73.0,79.0,122.4,95.5,-5.8,-1.4,3.8,-2.7,-3.7,0.9,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1
4.0,5.7,0.3,0.4,0.6,0.9,-1.2,1.7,3.9,3.9,0.5,2.8,2.7,1.0,-1.4,3.1,1.2,-4.6,-0.5,2.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
-0.2,3.0,3.2,0.1,2.6,7.5,1.6,0.4,0.5,1.4,0.6,1.1,2.7,2.7,4.4,5.2,-3.3,-1.8,2.8,-4.1,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0
53.7,61.4,7.8,4.5,12.9,27.7,2.9,33.1,25.9,33.2,12.8,28.5,31.0,30.1,-2.4,-1.1,1.9,3.1,0.2,3.2,0.0,1.0,0.0,0.0,0.4237678688907774,0.08805793820240569,0.854549661277628,0.9354586632265147,0
2.2,2.0,1.5,4.6,21.1,9.8,2.2,1.2,3.0,23.3,0.7,1.1,17.4,16.8,-1.0,-4.0,-0.5,-3.3,-4.6,-0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1
1.8,3.9,1.2,0.5,2.7,1.5,-0.2,1.2,3.0,8.2,-0.2,1.3,5.1,1.0,-9.4,-0.6,1.5,-3.1,-1.2,-1.7,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
-0.1,2.0,1.1,1.5,3.5,4.3,1.5,1.1,0.1,2.2,0.1,0.8,1.5,2.9,-3.1,0.6,5.9,1.5,1.0,-2.8,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.3721020104800405,0
36.4,34.4,7.5,5.1,6.9,16.0,1.2,15.7,26.6,33.8,11.4,33.7,12.0,16.0,-2.9,5.8,-5.7,-3.9,-1.2,-2.4,0.0,1.0,0.0,0.0,0.08999037071224057,0.4480428375103526,0.6610757260362282,0.3391826742418686,0
19.9,23.3,6.3,9.2,15.2,11.9,5.0,13.3,20.1,38.5,9.3,17.0,16.9,15.8,0.1,-0.3,-5.5,8.8,-6.2,4.0,0.0,0.0,1.0,0.0,0.08863438886531481,0.4880710891071222,0.09788865412201293,0.7560831698568883,0
8.5,9.6,0.5,1.0,4.2,-0.8,0.8,3.4,8.3,9.5,3.0,3.0,7.0,4.8,2.8,3.6,-4.5,-7.2,-3.3,0.2,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
2.7,2.6,2.9,1.1,2.1,4.3,1.7,0.2,2.8,0.1,0.3,1.1,-0.5,0.2,2.5,-5.4,0.0,0.1,7.0,-0.1,1.0,0.0,0.0,0.0,0.4497533010614698,0.5,0.7867626318105527,0.17963835023132366,0
-0.6,6.0,12.8,4.0,4.6,14.2,19.2,24.7,1.5,6.6,9.8,15.1,2.7,2.5,3.8,-1.5,-3.0,-3.3,4.3,2.6,0.0,1.0,0.0,0.0,0.5504802713567611,0.09163836780118279,0.20682468749775726,0.8186397969416922,0
0.4,2.8,-0.1,-0.5,1.8,-0.1,0.6,-1.0,1.6,1.8,0.2,-1.4,4.0,1.8,-0.8,-5.5,0.4,-4.6,0.2,6.6,0.0,0.0,1.0,0.0,0.4811470661528495,0.5,0.5,0.4444820354037828,1
3.7,4.2,1.6,1.4,2.4,2.1,0.6,2.0,4.6,6.4,1.9,3.7,2.6,3.6,1.1,3.6,1.8,-0.4,3.5,-0.9,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
0.4,2.7,1.3,1.2,10.3,9.2,5.3,4.8,-0.9,6.8,-0.7,3.3,11.1,9.4,1.9,-4.5,-0.1,1.9,0.7,1.4,1.0,0.0,0.0,0.0,0.49450803935823995,0.5,0.5,0.2989613616400481,0
0.6,1.2,-0.4,2.2,3.3,-0.4,0.7,1.8,0.4,2.9,2.2,2.1,0.7,2.2,1.2,4.4,4.2,1.9,-1.6,2.3,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
2.0,-0.7,0.5,0.8,3.9,2.7,-0.3,0.3,-0.2,1.4,1.4,0.4,1.9,2.8,-0.2,0.7,2.7,0.6,4.3,3.5,0.0,0.0,1.0,0.0,0.4323491146733901,0.8133382944245602,0.34109064429502434,0.7208522639130959,0
1.5,2.1,1.9,2.3,1.7,-0.5,-1.4,1.2,2.9,1.7,-0.4,0.4,2.7,3.2,-6.7,-5.4,-1.5,-2.6,0.8,-0.8,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
-0.2,1.1,-0.0,-1.1,2.0,-0.4,2.2,-0.5,3.6,-1.2,0.6,2.6,2.0,1.6,-0.7,-10.2,-1.6,-5.4,-1.1,5.8,1.0,0.0,0.0,0.0,0.22620087212113618,0.5253654738908567,0.5753233073173626,0.12378344470737052,0
2.9,7.8,-0.4,0.4,-1.0,-0.1,2.1,4.1,-0.9,1.9,1.8,0.8,4.4,0.8,2.5,1.6,4.6,1.9,-1.3,-1.2,0.0,1.0,0.0,0.0,0.5222780437899383,0.3000632907577585,0.6119030385765246,0.8183265069671753,0
-0.9,2.1,0.6,1.3,10.0,4.8,16.5,7.5,0.1,-0.3,3.2,10.6,17.3,1.8,-2.9,-7.1,1.9,-0.7,0.8,2.9,0.0,0.0,1.0,0.0,0.02564602442275959,0.9414562388279142,0.9800178318436253,0.0002488708390737278,1
8.5,8.0,-0.1,2.3,1.5,-0.4,-1.0,1.4,7.7,7.7,3.5,4.0,4.2,3.7,-2.0,3.4,2.4,2.6,2.4,-0.4,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1
4.5,5.0,2.8,-0.0,6.8,10.4,2.0,5.5,-1.0,6.5,1.0,4.3,6.6,6.3,-0.4,5.7,-0.6,-2.3,3.9,0.8,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0
1.6,-1.0,1.6,-1.0,1.0,2.2,-1.2,1.2,1.2,0.2,0.8,-0.3,0.1,1.3,-0.5,5.3,-2.3,-1.5,3.7,0.5,0.0,1.0,0.0,0.0,0.5,0.6492964438036994,0.42786506873824237,0.7939527974628344,1
25.9,28.0,3.3,-0.4,2.9,18.8,0.6,11.1,4.4,8.6,1.1,9.3,12.7,11.4,4.3,5.3,1.4,1.6,-1.5,1.8,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0
4.7,5.2,0.1,1.3,2.2,-1.7,-1.3,0.7,5.4,5.1,0.4,1.3,6.7,4.5,8.0,1.4,3.7,-5.6,-1.9,3.5,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
-1.8,-0.1,1.7,0.7,2.0,3.1,2.0,1.1,0.6,2.0,0.2,-0.8,1.1,2.0,-0.1,2.6,2.6,3.7,-8.7,9.1,1.0,0.0,0.0,0.0,0.41835068352253596,0.5,0.5409296321526746,0.24365383015242822,0
8.2,15.0,6.5,8.5,10.6,5.2,8.1,13.2,16.5,26.6,9.7,16.7,8.9,10.0,3.2,-4.7,0.7,-2.4,-6.1,2.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
57.7,53.3,1.2,1.3,2.7,-0.5,0.9,8.6,49.5,12.7,15.9,27.4,1.9,3.1,-1.9,2.6,1.5,-4.0,1.9,8.7,0.0,0.0,1.0,0.0,0.11817540558094862,0.16022475352250481,0.9761633143050253,0.0290469523482515,1
4.1,3.5,1.2,1.7,1.3,-1.7,1.2,0.9,3.9,3.5,0.3,1.1,3.3,3.3,-1.4,2.2,-1.2,-1.1,-1.5,-7.0,0.0,0.0,0.0,1.0,0.5121707726445958,0.5,0.5,0.5,0
-1.7,-0.9,-0.5,-1.2,2.0,4.6,0.3,1.4,2.9,1.0,2.4,-0.6,2.7,1.5,-3.3,1.9,-3.0,-3.8,0.9,-0.9,1.0,0.0,0.0,0.0,0.32497999262461,0.5,0.5604481226772338,0.2623838472782901,0
64.6,81.2,14.3,4.5,7.2,29.8,4.7,49.4,34.4,29.8,21.1,46.7,24.4,25.4,8.6,1.0,2.7,3.5,0.7,-2.0,0.0,1.0,0.0,0.0,0.49647399719885194,0.02794220943706504,0.9495269485310575,0.8596407134666991,0
10.9,17.2,0.5,0.4,0.1,2.8,1.6,10.1,1.7,-0.2,3.5,-0.1,12.2,5.9,2.2,-6.8,-1.1,-1.6,2.1,-1.8,0.0,0.0,1.0,0.0,0.5715722046156815,0.1275128137831484,0.7725998619588363,0.9506745770976429,1
4.5,3.2,1.0,0.8,4.8,-2.1,-0.7,0.3,3.9,5.2,0.8,-0.5,3.3,2.4,-6.4,-6.2,1.3,-1.4,3.0,3.4,0.0,0.0,0.0,1.0,0.5114951342030567,0.5,0.5,0.5,0
-0.0,1.6,-2.0,-0.8,1.3,5.0,2.2,0.2,-1.5,2.1,-2.0,-0.7,3.9,3.4,-2.0,-0.5,4.5,2.5,-1.2,1.5,1.0,0.0,0.0,0.0,0.2933827269857139,0.5,0.5,0.3311003054470594,0
31.1,29.6,0.5,-0.3,0.4,2.1,1.4,5.7,11.9,2.1,3.3,6.8,3.7,5.0,6.2,1.9,0.9,2.3,-3.9,0.9,0.0,1.0,0.0,0.0,0.627379528738729,0.21829601848937147,0.989084133580033,0.515637389872549,0
1.7,1.5,3.7,-0.4,0.2,10.7,-0.3,-0.0,5.6,-1.2,2.9,2.3,1.0,-1.2,4.5,3.7,2.2,3.8,1.0,4.2,0.0,0.0,1.0,0.0,0.5414960668709131,0.5297293673023684,0.6097247618162417,0.2712207936100184,1
5.9,6.2,0.1,1.8,1.2,0.5,0.4,0.1,7.5,5.6,-0.3,0.3,4.8,2.8,-0.1,-0.2,1.0,-0.4,-1.5,5.2,0.0,0.0,0.0,1.0,0.5484586950366783,0.5,0.5,0.5,0
3.7,4.6,3.0,3.4,8.3,17.8,4.7,5.8,0.6,13.9,0.2,3.8,11.0,9.9,0.8,-1.1,-4.5,6.1,-2.8,-5.2,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1
1.7,3.3,21.9,10.3,6.1,22.4,10.6,14.4,7.2,25.4,7.4,35.4,1.0,2.4,-4.8,-0.9,-6.5,-4.4,3.3,-0.8,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0
10.2,12.8,3.9,2.8,14.4,5.9,4.4,11.7,6.2,16.5,5.8,3.6,17.5,15.1,6.1,-8.1,-5.0,-1.8,4.5,-0.2,0.0,0.0,1.0,0.0,0.41274656956100814,0.25963958853363067,0.1462023780475461,0.9676572847743302,0
9.4,8.6,0.4,1.9,3.7,0.8,0.5,2.8,7.2,11.7,2.9,4.9,4.9,5.8,-2.3,4.1,4.7,-2.5,5.2,1.6,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
4.0,1.5,0.9,1.8,3.5,10.1,1.3,5.0,-0.4,4.0,-1.3,3.9,6.7,5.5,0.2,-2.2,1.6,-1.4,-3.0,2.1,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0
1.8,2.0,1.2,1.3,1.7,0.6,2.1,0.2,2.1,3.6,1.0,-0.5,-0.4,0.2,-3.9,-1.3,-4.8,-1.1,-3.3,-4.5,0.0,1.0,0.0,0.0,0.3055888052472041,0.4688524809011755,0.6760571138537282,0.1381742552068876,0
43.4,12.9,1.7,4.6,7.0,1.3,42.8,5.6,4.3,2.3,1.3,5.7,-0.1,0.7,-0.7,2.5,2.4,-0.4,-5.5,9.0,0.0,0.0,1.0,0.0,0.6053573884892963,0.10396236406623738,0.17047597407863316,0.5,0
-0.7,-0.1,-1.7,0.7,-0.0,0.7,0.2,2.3,1.0,2.2,-1.2,-0.1,-0.9,1.3,4.9,-2.9,-7.1,-5.1,4.2,1.2,0.0,0.0,0.0,1.0,0.5448171386535795,0.5,0.5,0.5,0
-0.6,1.3,2.1,1.0,3.0,1.8,1.0,1.9,1.1,1.5,0.1,0.4,3.0,0.2,0.8,3.1,3.5,-5.5,8.6,-3.6,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0
20.6,21.4,0.5,-0.7,13.9,26.8,1.4,11.9,1.6,13.9,-0.0,6.6,26.0,22.8,2.3,-1.9,4.8,2.7,0.4,-6.6,0.0,1.0,0.0,0.0,0.6481727749780847,0.2671944639283321,0.7805657167880167,0.9892581127697121,0
48.2,60.7,24.1,13.6,19.4,41.9,15.4,50.4,37.9,59.4,27.2,63.6,25.9,32.6,-0.6,1.0,0.0,-2.8,4.0,3.2,0.0,0.0,1.0,0.0,0.09808541766736002,0.1640281425250406,0.4064022498850306,0.6978344258436703,0
7.1,5.9,-0.3,2.3,2.5,0.3,0.8,1.5,9.8,10.1,4.3,4.5,3.6,2.7,2.1,7.9,4.6,5.5,6.0,-1.1,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1
-0.5,3.3,0.8,2.5,4.9,7.0,2.2,3.3,-0.4,3.1,0.8,2.1,3.0,2.8,-2.2,-1.8,-2.4,2.4,2.5,-4.1,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.4574335744895737,0
3.3,8.0,0.5,9.5,28.3,1.2,10.1,6.0,8.2,26.5,5.9,0.2,25.0,14.3,-2.3,-5.0,-4.3,3.3,1.0,3.3,0.0,1.0,0.0,0.0,0.5,0.5,0.668714338130878,0.10472035804386497,1
-0.1,0.7,4.9,-1.2,3.7,-0.1,2.4,2.0,1.9,0.8,0.7,5.2,3.2,2.2,-4.0,-0.8,2.6,-3.3,-0.3,5.8,0.0,0.0,1.0,0.0,0.45352052230414136,0.5,0.8387278070273816,0.1083108837304801,1
5.6,9.5,1.5,1.5,3.1,2.2,2.7,2.9,7.3,9.8,3.4,2.9,6.0,5.7,-4.9,-0.9,1.6,-3.9,6.2,0.3,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
1.7,0.7,1.3,-0.2,1.5,6.0,-0.2,1.5,1.9,-0.6,-1.7,0.8,4.1,3.0,0.0,2.0,-1.8,4.3,-1.4,-2.6,1.0,0.0,0.0,0.0,0.38225050229965735,0.5,0.5,0.37936813815531606,0
13.1,12.1,1.8,0.2,7.5,20.0,1.6,3.3,3.1,14.0,2.1,6.8,10.8,12.9,-2.1,-8.4,-1.1,-1.0,4.0,-7.2,0.0,1.0,0.0,0.0,0.3927659368142847,0.5492423358073507,0.6875031643286043,0.8750521455766394,1
14.8,35.5,17.9,27.2,79.3,38.8,50.7,55.0,18.9,80.4,18.8,19.8,74.1,58.8,0.2,-1.0,-3.9,-6.2,3.8,-7.7,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.20061586382756008,1
3.6,3.9,0.1,-0.5,0.8,-0.5,0.9,0.3,4.5,3.8,2.3,1.7,1.6,-0.1,-1.6,-4.0,3.2,0.6,1.0,-1.2,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1
7.9,10.4,2.4,3.0,12.6,21.6,3.4,8.9,0.1,14.6,1.2,6.4,13.2,14.7,-4.3,-5.5,7.1,-3.4,5.1,3.3,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1
19.4,26.3,3.5,13.7,18.6,-0.3,6.6,12.6,39.9,46.4,14.6,15.5,20.6,16.9,-3.7,-2.2,14.4,-2.3,-0.5,10.1,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
-0.9,0.4,1.5,-0.1,0.7,29.0,1.4,-1.3,3.5,1.4,2.1,5.1,0.3,2.9,-1.7,1.0,0.1,-3.0,3.3,-1.5,0.0,0.0,1.0,0.0,0.5,0.4248596146534537,0.4981834392165364,0.5,0
